Nombre,CodigoBarra,Categoria,FechaCaducidad,Marca,Precio,Stock
Queso Crema Premium 34,1000000000034,Panaderia,2027-01-27,Bimbo,11.2,146
Harina Trigo Natural 35,1000000000035,Despensa,2027-07-18,Bimbo,83.66,5
Leche Entera Clasico 36,1000000000036,Panaderia,2029-03-24,NutriPlus,83.29,200
Sal Marina Premium 37,1000000000037,Frutas,2027-04-02,Sabroso,11.83,100
Cereal Avena Clasico 38,1000000000038,Panaderia,2029-04-20,LaVaquita,34.27,9
Atun Enlatado Natural 39,1000000000039,Granos,2029-05-21,DelValle,62.71,139
Pasta Espagueti Natural 40,1000000000040,Granos,2027-04-03,Cremoso,55.36,69
Galletas Chocolate Natural 41,1000000000041,Frutas,2027-07-16,DelValle,60.81,6
Azucar Morena Clasico 42,1000000000042,Lacteos,2029-12-28,DelCampo,1.0,196
Atun Enlatado Light 43,1000000000043,Granos,2026-04-17,NutriPlus,63.81,42
Galletas Chocolate Natural 44,1000000000044,Despensa,2028-08-12,LaMilpa,21.03,185
Manzana Roja Natural 45,1000000000045,Granos,2028-09-02,CampoReal,52.94,31
Atun Enlatado Light 46,1000000000046,Despensa,2027-05-13,LaMilpa,16.79,191
Pan Integral Natural 47,1000000000047,Frutas,2026-07-21,CampoReal,1.86,187
Pasta Espagueti Extra 48,1000000000048,Panaderia,2029-06-08,DelValle,73.29,131
Pan Integral Clasico 49,1000000000049,Lacteos,2028-08-09,FreshCo,10.63,29
Aceite Vegetal Light 50,1000000000050,Granos,2028-01-15,Sabroso,16.85,24
Harina Trigo Light 51,1000000000051,Despensa,2028-04-04,CampoReal,70.61,42
Azucar Morena Extra 52,1000000000052,Frutas,2029-06-26,Cremoso,45.47,147
Yogurt Fresa Clasico 53,1000000000053,Frutas,2026-05-13,DelValle,65.49,67
Sopa Instantanea Clasico 54,1000000000054,Panaderia,2026-05-25,FreshCo,5.86,185
Queso Crema Extra 55,1000000000055,Granos,2026-06-02,LaVaquita,38.27,173
Cereal Avena Light 56,1000000000056,Bebidas,2026-12-16,LaVaquita,12.4,164
Cereal Avena Extra 57,1000000000057,Bebidas,2028-05-06,DelCampo,41.84,11
Frijol Negro Premium 58,1000000000058,Frutas,2028-04-03,LaMilpa,43.74,131
Jugo Natural Extra 59,1000000000059,Bebidas,2027-02-18,DelCampo,57.69,175
Azucar Morena Clasico 60,1000000000060,Lacteos,2026-08-06,LaVaquita,59.27,4
Pan Integral Natural 61,1000000000061,Bebidas,2027-01-02,Bimbo,71.04,155
Pan Integral Extra 62,1000000000062,Despensa,2027-09-23,Bimbo,99.99,167
Harina Trigo Natural 63,1000000000063,Panaderia,2028-07-16,Cremoso,80.83,5
Arroz Blanco Light 64,1000000000064,Bebidas,2026-11-27,LaVaquita,77.4,93
Leche Entera Natural 65,1000000000065,Frutas,2027-01-26,NutriPlus,16.72,84
Mermelada Fresa Clasico 66,1000000000066,Granos,2026-07-09,Cremoso,14.41,186
Pan Integral Clasico 67,1000000000067,Despensa,2026-04-15,LaVaquita,15.9,70
Frijol Negro Light 68,1000000000068,Bebidas,2029-03-10,Cremoso,36.14,79
Leche Entera Clasico 69,1000000000069,Frutas,2028-07-16,Bimbo,32.66,26
Manzana Roja Clasico 70,1000000000070,Panaderia,2028-06-08,FreshCo,51.17,161
Queso Crema Clasico 71,1000000000071,Bebidas,2027-06-26,Sabroso,70.46,93
Queso Crema Clasico 72,1000000000072,Granos,2028-04-28,FreshCo,8.66,152
Queso Crema Clasico 73,1000000000073,Frutas,2026-04-13,FreshCo,74.53,95
Galletas Chocolate Premium 74,1000000000074,Lacteos,2026-06-04,NutriPlus,25.49,145
Sopa Instantanea Premium 75,1000000000075,Lacteos,2029-04-24,NutriPlus,11.95,187
Harina Trigo Natural 76,1000000000076,Lacteos,2026-08-05,Bimbo,11.02,197
Mermelada Fresa Clasico 77,1000000000077,Frutas,2027-10-01,LaVaquita,60.59,179
Cereal Avena Light 78,1000000000078,Despensa,2028-05-16,DelCampo,52.64,196
Arroz Blanco Light 79,1000000000079,Despensa,2029-02-13,DelValle,29.01,123
Manzana Roja Light 80,1000000000080,Panaderia,2028-07-21,Bimbo,46.42,30
Mermelada Fresa Clasico 81,1000000000081,Panaderia,2029-09-22,Sabroso,70.1,166
Cereal Avena Light 82,1000000000082,Lacteos,2028-09-11,DelValle,86.66,124
Galletas Chocolate Light 83,1000000000083,Despensa,2028-05-14,Bimbo,24.19,128
Arroz Blanco Clasico 84,1000000000084,Despensa,2028-07-07,Sabroso,14.77,128
Yogurt Fresa Extra 85,1000000000085,Granos,2029-05-09,LaMilpa,51.93,117
Arroz Blanco Natural 86,1000000000086,Frutas,2027-08-06,Sabroso,59.56,135
Leche Entera Natural 87,1000000000087,Panaderia,2028-05-30,CampoReal,96.25,145
Manzana Roja Clasico 88,1000000000088,Despensa,2026-08-16,DelCampo,16.42,35
Mermelada Fresa Clasico 89,1000000000089,Granos,2027-10-18,DelValle,26.08,84
Yogurt Fresa Light 90,1000000000090,Bebidas,2028-06-07,LaMilpa,12.69,22
Jugo Natural Clasico 91,1000000000091,Granos,2029-03-22,Bimbo,94.9,36
Atun Enlatado Light 92,1000000000092,Granos,2029-07-13,DelValle,42.12,94
Arroz Blanco Natural 93,1000000000093,Despensa,2026-08-05,LaVaquita,30.43,43
Mermelada Fresa Natural 94,1000000000094,Granos,2026-09-21,Cremoso,43.61,50
Manzana Roja Natural 95,1000000000095,Granos,2026-07-10,DelCampo,12.08,55
Arroz Blanco Clasico 96,1000000000096,Lacteos,2029-02-17,LaMilpa,75.3,104
Mermelada Fresa Extra 97,1000000000097,Panaderia,2029-12-05,Bimbo,14.43,195
Sopa Instantanea Clasico 98,1000000000098,Lacteos,2026-07-08,FreshCo,26.47,89
Jugo Natural Premium 99,1000000000099,Lacteos,2029-04-03,FreshCo,82.9,87
Sopa Instantanea Natural 100,1000000000100,Despensa,2028-01-22,Bimbo,43.36,74
Cereal Avena Natural 101,1000000000101,Lacteos,2027-03-22,FreshCo,29.85,197
Queso Crema Natural 102,1000000000102,Despensa,2026-09-26,CampoReal,77.19,106
Aceite Vegetal Premium 103,1000000000103,Lacteos,2027-02-27,DelValle,92.57,145
Cereal Avena Natural 104,1000000000104,Granos,2026-04-07,Bimbo,66.29,136
Chocolate Negro Extra 105,1000000000105,Despensa,2026-05-31,LaVaquita,59.83,39
Sopa Instantanea Light 106,1000000000106,Frutas,2027-11-13,DelCampo,22.58,93
Pasta Espagueti Premium 107,1000000000107,Frutas,2029-12-24,NutriPlus,26.9,150
Atun Enlatado Natural 108,1000000000108,Panaderia,2026-09-29,LaVaquita,29.29,134
Mermelada Fresa Extra 109,1000000000109,Frutas,2028-03-29,FreshCo,21.9,74
Sal Marina Extra 110,1000000000110,Lacteos,2026-03-02,LaVaquita,97.38,106
Leche Entera Natural 111,1000000000111,Lacteos,2028-12-03,FreshCo,57.56,136
Jugo Natural Natural 112,1000000000112,Bebidas,2028-02-25,NutriPlus,15.24,107
Azucar Morena Clasico 113,1000000000113,Frutas,2029-03-07,DelValle,18.6,33
Leche Entera Natural 114,1000000000114,Granos,2029-06-02,LaMilpa,66.04,111
Manzana Roja Light 115,1000000000115,Despensa,2027-04-26,FreshCo,18.07,107
Pan Integral Premium 116,1000000000116,Granos,2027-02-20,Sabroso,99.29,50
Aceite Vegetal Light 117,1000000000117,Despensa,2029-02-22,Bimbo,29.08,173
Yogurt Fresa Clasico 118,1000000000118,Lacteos,2027-02-07,DelValle,90.42,191
Sal Marina Light 119,1000000000119,Granos,2029-03-02,CampoReal,31.6,87
Frijol Negro Extra 120,1000000000120,Granos,2026-12-18,LaMilpa,7.79,127
Chocolate Negro Clasico 121,1000000000121,Lacteos,2029-01-10,CampoReal,69.13,12
Atun Enlatado Natural 122,1000000000122,Bebidas,2027-05-13,CampoReal,26.82,133
Sal Marina Premium 123,1000000000123,Despensa,2026-12-09,DelCampo,53.24,34
Pasta Espagueti Premium 124,1000000000124,Lacteos,2028-06-28,LaMilpa,20.58,169
Harina Trigo Extra 125,1000000000125,Frutas,2027-05-18,CampoReal,1.02,126
Atun Enlatado Extra 126,1000000000126,Panaderia,2027-07-03,FreshCo,98.36,88
Sal Marina Clasico 127,1000000000127,Frutas,2029-01-22,Cremoso,68.56,106
Mermelada Fresa Extra 128,1000000000128,Panaderia,2029-05-06,FreshCo,7.9,182
Aceite Vegetal Premium 129,1000000000129,Bebidas,2027-10-11,CampoReal,29.73,127
Atun Enlatado Premium 130,1000000000130,Frutas,2029-06-12,LaVaquita,58.25,47
Manzana Roja Premium 131,1000000000131,Bebidas,2028-07-08,Bimbo,99.69,47
Cereal Avena Light 132,1000000000132,Bebidas,2028-10-24,NutriPlus,18.58,27
Galletas Chocolate Extra 133,1000000000133,Frutas,2027-12-20,DelCampo,51.58,112
Pasta Espagueti Clasico 134,1000000000134,Granos,2026-11-08,LaMilpa,49.6,131
Jugo Natural Clasico 135,1000000000135,Granos,2026-02-09,Cremoso,12.61,102
Chocolate Negro Extra 136,1000000000136,Panaderia,2026-03-09,Sabroso,70.02,167
Azucar Morena Extra 137,1000000000137,Bebidas,2027-04-03,LaVaquita,80.68,101
Azucar Morena Natural 138,1000000000138,Bebidas,2027-01-03,DelValle,77.96,89
Arroz Blanco Extra 139,1000000000139,Panaderia,2027-08-08,LaMilpa,19.31,5
Sopa Instantanea Natural 140,1000000000140,Lacteos,2026-04-24,CampoReal,61.89,46
Chocolate Negro Extra 141,1000000000141,Despensa,2026-04-23,LaVaquita,76.16,111
Aceite Vegetal Clasico 142,1000000000142,Frutas,2026-12-25,FreshCo,48.27,154
Cafe Molido Extra 143,1000000000143,Bebidas,2026-08-27,DelValle,8.31,54
Leche Entera Extra 144,1000000000144,Frutas,2026-09-14,LaVaquita,19.05,84
Leche Entera Clasico 145,1000000000145,Bebidas,2029-11-26,LaMilpa,90.39,15
Harina Trigo Light 146,1000000000146,Granos,2029-05-02,LaMilpa,38.24,120
Aceite Vegetal Extra 147,1000000000147,Frutas,2029-04-11,LaMilpa,57.35,145
Manzana Roja Light 148,1000000000148,Panaderia,2028-02-28,DelCampo,51.37,118
Sopa Instantanea Light 149,1000000000149,Frutas,2026-08-11,DelValle,14.22,176
Cafe Molido Light 150,1000000000150,Bebidas,2029-04-02,CampoReal,37.33,147
Pan Integral Premium 151,1000000000151,Lacteos,2026-02-15,NutriPlus,18.72,35
Pasta Espagueti Clasico 152,1000000000152,Frutas,2027-11-23,FreshCo,88.21,10
Harina Trigo Natural 153,1000000000153,Bebidas,2028-05-19,DelCampo,52.13,79
Chocolate Negro Extra 154,1000000000154,Lacteos,2027-07-24,DelValle,20.19,87
Frijol Negro Extra 155,1000000000155,Granos,2027-03-08,LaMilpa,20.14,189
Cereal Avena Extra 156,1000000000156,Panaderia,2029-12-20,CampoReal,62.13,62
Arroz Blanco Clasico 157,1000000000157,Panaderia,2026-02-21,Sabroso,38.81,131
Jugo Natural Premium 158,1000000000158,Lacteos,2026-03-26,FreshCo,95.18,26
Pan Integral Extra 159,1000000000159,Granos,2027-04-02,CampoReal,72.36,125
Sal Marina Clasico 160,1000000000160,Granos,2027-09-07,FreshCo,66.98,147
Atun Enlatado Premium 161,1000000000161,Frutas,2026-09-12,Cremoso,20.17,187
Manzana Roja Extra 162,1000000000162,Granos,2027-10-11,CampoReal,82.99,42
Galletas Chocolate Natural 163,1000000000163,Panaderia,2028-11-28,Cremoso,52.58,25
Pan Integral Light 164,1000000000164,Granos,2029-01-23,DelCampo,83.78,7
Pasta Espagueti Natural 165,1000000000165,Bebidas,2028-01-25,Bimbo,44.39,139
Jugo Natural Extra 166,1000000000166,Panaderia,2026-09-02,Bimbo,43.12,58
Sal Marina Clasico 167,1000000000167,Lacteos,2027-07-26,NutriPlus,31.18,1
Galletas Chocolate Natural 168,1000000000168,Panaderia,2029-12-27,NutriPlus,1.13,197
Leche Entera Clasico 169,1000000000169,Panaderia,2027-03-23,LaVaquita,45.11,148
Galletas Chocolate Clasico 170,1000000000170,Bebidas,2029-11-25,Bimbo,99.22,133
Leche Entera Extra 171,1000000000171,Granos,2028-10-15,DelValle,89.36,103
Yogurt Fresa Premium 172,1000000000172,Panaderia,2028-01-20,LaMilpa,29.11,67
Yogurt Fresa Clasico 173,1000000000173,Panaderia,2028-09-18,FreshCo,49.82,152
Sal Marina Natural 174,1000000000174,Granos,2027-11-15,LaMilpa,20.4,105
Sopa Instantanea Light 175,1000000000175,Lacteos,2028-03-27,CampoReal,57.79,113
Arroz Blanco Light 176,1000000000176,Lacteos,2026-06-09,LaMilpa,42.14,160
Manzana Roja Clasico 177,1000000000177,Granos,2028-01-28,FreshCo,14.46,47
Jugo Natural Clasico 178,1000000000178,Despensa,2028-04-15,LaVaquita,9.99,79
Cereal Avena Clasico 179,1000000000179,Despensa,2026-01-20,FreshCo,17.07,20
Manzana Roja Natural 180,1000000000180,Lacteos,2026-06-03,DelValle,68.47,47
Manzana Roja Light 181,1000000000181,Granos,2028-04-01,Cremoso,45.18,48
Harina Trigo Clasico 182,1000000000182,Lacteos,2028-09-26,Bimbo,28.42,102
Leche Entera Light 183,1000000000183,Granos,2028-05-23,LaVaquita,14.15,44
Jugo Natural Clasico 184,1000000000184,Frutas,2027-02-03,Bimbo,30.65,11
Arroz Blanco Natural 185,1000000000185,Panaderia,2027-11-02,LaVaquita,22.92,168
Yogurt Fresa Premium 186,1000000000186,Panaderia,2027-04-27,Bimbo,21.88,153
Pan Integral Premium 187,1000000000187,Lacteos,2028-07-09,CampoReal,13.01,43
Chocolate Negro Extra 188,1000000000188,Granos,2029-01-21,Bimbo,43.49,101
Sopa Instantanea Light 189,1000000000189,Granos,2027-01-21,LaMilpa,26.59,179
Atun Enlatado Clasico 190,1000000000190,Panaderia,2028-05-22,LaMilpa,28.12,62
Leche Entera Extra 191,1000000000191,Bebidas,2027-06-03,Sabroso,68.93,182
Azucar Morena Light 192,1000000000192,Bebidas,2028-07-24,Sabroso,77.3,29
Frijol Negro Natural 193,1000000000193,Lacteos,2027-04-08,CampoReal,44.06,172
Yogurt Fresa Clasico 194,1000000000194,Bebidas,2027-05-11,LaMilpa,33.55,83
Queso Crema Natural 195,1000000000195,Lacteos,2026-12-24,LaMilpa,16.46,130
Galletas Chocolate Premium 196,1000000000196,Frutas,2028-10-06,Bimbo,63.15,14
Azucar Morena Premium 197,1000000000197,Bebidas,2029-06-12,FreshCo,53.28,95
Atun Enlatado Clasico 198,1000000000198,Panaderia,2028-02-21,CampoReal,2.97,108
Cafe Molido Light 199,1000000000199,Panaderia,2028-12-04,Bimbo,93.45,139
Leche Entera Natural 200,1000000000200,Lacteos,2026-05-02,LaVaquita,75.94,106
Cereal Avena Premium 201,1000000000201,Granos,2029-05-30,CampoReal,63.49,58
Harina Trigo Light 202,1000000000202,Despensa,2027-04-14,DelValle,34.07,149
Mermelada Fresa Natural 203,1000000000203,Lacteos,2026-01-16,LaMilpa,72.09,91
Cafe Molido Extra 204,1000000000204,Despensa,2026-04-14,Cremoso,83.28,27
Atun Enlatado Premium 205,1000000000205,Lacteos,2027-05-07,CampoReal,95.09,52
Aceite Vegetal Premium 206,1000000000206,Panaderia,2026-03-10,FreshCo,94.79,88
Pasta Espagueti Premium 207,1000000000207,Bebidas,2029-09-28,FreshCo,73.8,174
Sal Marina Extra 208,1000000000208,Bebidas,2026-12-02,NutriPlus,81.86,36
Atun Enlatado Premium 209,1000000000209,Despensa,2029-12-14,NutriPlus,41.17,197
Sopa Instantanea Natural 210,1000000000210,Lacteos,2029-02-13,FreshCo,50.43,160
Yogurt Fresa Premium 211,1000000000211,Granos,2027-12-29,LaVaquita,1.07,138
Chocolate Negro Natural 212,1000000000212,Granos,2026-10-09,FreshCo,44.03,38
Yogurt Fresa Extra 213,1000000000213,Panaderia,2028-03-26,DelCampo,31.54,8
Arroz Blanco Premium 214,1000000000214,Lacteos,2027-03-17,NutriPlus,89.07,42
Sopa Instantanea Extra 215,1000000000215,Panaderia,2028-01-04,DelCampo,71.21,103
Yogurt Fresa Clasico 216,1000000000216,Frutas,2028-11-04,DelValle,86.04,182
Galletas Chocolate Clasico 217,1000000000217,Frutas,2027-04-13,LaMilpa,4.55,73
Chocolate Negro Premium 218,1000000000218,Lacteos,2027-06-22,Cremoso,29.93,192
Pasta Espagueti Extra 219,1000000000219,Bebidas,2026-01-29,CampoReal,53.21,22
Pasta Espagueti Extra 220,1000000000220,Bebidas,2028-03-14,NutriPlus,85.62,120
Yogurt Fresa Light 221,1000000000221,Granos,2028-01-12,CampoReal,90.46,87
Queso Crema Extra 222,1000000000222,Lacteos,2029-10-02,FreshCo,54.77,9
Cereal Avena Clasico 223,1000000000223,Granos,2027-09-21,LaVaquita,51.59,143
Arroz Blanco Extra 224,1000000000224,Lacteos,2029-07-04,DelCampo,95.43,39
Yogurt Fresa Clasico 225,1000000000225,Frutas,2027-11-20,Sabroso,28.24,74
Aceite Vegetal Premium 226,1000000000226,Despensa,2029-11-30,LaMilpa,84.87,140
Mermelada Fresa Natural 227,1000000000227,Lacteos,2026-11-10,LaVaquita,45.31,30
Jugo Natural Natural 228,1000000000228,Panaderia,2026-08-27,LaMilpa,66.82,170
Azucar Morena Extra 229,1000000000229,Lacteos,2026-06-10,LaVaquita,66.9,59
Jugo Natural Extra 230,1000000000230,Frutas,2026-05-02,DelCampo,11.43,131
Frijol Negro Extra 231,1000000000231,Granos,2027-08-17,CampoReal,95.6,150
Cereal Avena Premium 232,1000000000232,Frutas,2028-12-22,Cremoso,29.65,46
Atun Enlatado Clasico 233,1000000000233,Bebidas,2028-06-15,CampoReal,40.85,117
Jugo Natural Extra 234,1000000000234,Lacteos,2028-08-05,Bimbo,70.11,102
Queso Crema Extra 235,1000000000235,Bebidas,2027-02-01,DelValle,40.31,185
Cereal Avena Premium 236,1000000000236,Panaderia,2027-07-21,FreshCo,6.84,67
Manzana Roja Light 237,1000000000237,Frutas,2029-01-23,FreshCo,99.59,68
Chocolate Negro Extra 238,1000000000238,Panaderia,2029-08-21,FreshCo,76.48,150
Arroz Blanco Premium 239,1000000000239,Panaderia,2026-10-01,Cremoso,27.34,40
Mermelada Fresa Light 240,1000000000240,Bebidas,2027-10-17,CampoReal,31.59,2
Manzana Roja Premium 241,1000000000241,Lacteos,2026-03-28,CampoReal,74.9,185
Chocolate Negro Extra 242,1000000000242,Despensa,2026-07-23,DelValle,42.36,195
Sal Marina Clasico 243,1000000000243,Lacteos,2026-03-21,Bimbo,54.62,10
Queso Crema Light 244,1000000000244,Frutas,2026-08-05,LaVaquita,24.68,97
Leche Entera Natural 245,1000000000245,Frutas,2026-03-05,Bimbo,48.95,29
Sal Marina Premium 246,1000000000246,Panaderia,2026-02-13,Bimbo,93.14,125
Pasta Espagueti Natural 247,1000000000247,Panaderia,2028-01-05,Bimbo,67.43,175
Sal Marina Clasico 248,1000000000248,Frutas,2026-08-06,LaMilpa,93.56,191
Galletas Chocolate Extra 249,1000000000249,Frutas,2027-08-24,DelValle,85.9,96
Aceite Vegetal Natural 250,1000000000250,Frutas,2026-03-07,CampoReal,77.25,177
Yogurt Fresa Premium 251,1000000000251,Bebidas,2028-06-25,FreshCo,10.13,197
Atun Enlatado Extra 252,1000000000252,Despensa,2026-02-16,Cremoso,17.54,189
Frijol Negro Clasico 253,1000000000253,Granos,2026-06-07,DelValle,29.72,23
Queso Crema Natural 254,1000000000254,Panaderia,2029-08-25,Sabroso,20.35,132
Pan Integral Clasico 255,1000000000255,Panaderia,2026-07-27,LaMilpa,57.64,63
Jugo Natural Premium 256,1000000000256,Despensa,2026-04-22,DelValle,51.42,90
Frijol Negro Premium 257,1000000000257,Granos,2027-04-17,Bimbo,57.52,135
Cafe Molido Premium 258,1000000000258,Bebidas,2027-05-24,DelCampo,43.77,135
Galletas Chocolate Extra 259,1000000000259,Frutas,2027-02-28,LaMilpa,94.52,155
Leche Entera Premium 260,1000000000260,Despensa,2028-08-02,Sabroso,22.1,157
Azucar Morena Natural 261,1000000000261,Panaderia,2029-03-08,DelCampo,98.2,120
Mermelada Fresa Premium 262,1000000000262,Despensa,2029-06-25,DelCampo,47.93,114
Azucar Morena Extra 263,1000000000263,Despensa,2027-05-22,DelValle,75.42,198
Queso Crema Light 264,1000000000264,Frutas,2027-06-18,CampoReal,6.83,127
Sal Marina Light 265,1000000000265,Despensa,2027-07-21,DelCampo,9.16,24
Queso Crema Light 266,1000000000266,Granos,2026-12-21,DelValle,41.37,13
Arroz Blanco Extra 267,1000000000267,Frutas,2027-12-31,DelCampo,92.13,131
Sal Marina Natural 268,1000000000268,Frutas,2028-05-28,Sabroso,26.34,187
Pan Integral Clasico 269,1000000000269,Lacteos,2027-09-07,NutriPlus,44.51,101
Cereal Avena Clasico 270,1000000000270,Despensa,2029-01-22,DelValle,21.55,69
Mermelada Fresa Light 271,1000000000271,Granos,2028-02-01,LaMilpa,73.45,185
Jugo Natural Light 272,1000000000272,Panaderia,2028-07-01,FreshCo,53.8,122
Cafe Molido Premium 273,1000000000273,Frutas,2029-02-25,DelCampo,12.72,62
Arroz Blanco Extra 274,1000000000274,Frutas,2026-12-17,Bimbo,46.15,82
Aceite Vegetal Premium 275,1000000000275,Panaderia,2028-05-26,NutriPlus,79.34,71
Sal Marina Light 276,1000000000276,Panaderia,2028-07-07,CampoReal,26.52,83
Yogurt Fresa Natural 277,1000000000277,Frutas,2026-04-18,LaMilpa,74.61,71
Sopa Instantanea Light 278,1000000000278,Panaderia,2028-03-31,LaVaquita,99.74,80
Mermelada Fresa Extra 279,1000000000279,Bebidas,2027-12-22,CampoReal,35.75,149
Jugo Natural Premium 280,1000000000280,Bebidas,2029-10-18,LaVaquita,4.22,18
Frijol Negro Natural 281,1000000000281,Panaderia,2028-03-19,NutriPlus,54.33,117
Leche Entera Extra 282,1000000000282,Despensa,2028-12-20,Cremoso,42.05,1
Manzana Roja Extra 283,1000000000283,Lacteos,2029-02-18,DelCampo,79.77,6
Pan Integral Extra 284,1000000000284,Granos,2027-12-23,FreshCo,55.25,105
Azucar Morena Light 285,1000000000285,Despensa,2028-10-24,Bimbo,89.61,180
Pan Integral Extra 286,1000000000286,Despensa,2029-05-07,Cremoso,55.97,183
Harina Trigo Extra 287,1000000000287,Frutas,2029-08-25,Bimbo,55.99,59
Harina Trigo Premium 288,1000000000288,Lacteos,2026-01-16,Cremoso,24.75,200
Frijol Negro Light 289,1000000000289,Despensa,2026-01-17,Cremoso,28.29,181
Sal Marina Light 290,1000000000290,Granos,2029-07-12,Cremoso,44.33,159
Atun Enlatado Premium 291,1000000000291,Lacteos,2027-07-02,NutriPlus,13.9,52
Azucar Morena Extra 292,1000000000292,Granos,2028-08-28,Cremoso,21.9,87
Mermelada Fresa Natural 293,1000000000293,Despensa,2028-12-07,Cremoso,40.31,118
Yogurt Fresa Clasico 294,1000000000294,Granos,2028-06-24,LaMilpa,17.11,76
Frijol Negro Extra 295,1000000000295,Lacteos,2026-04-23,LaMilpa,38.95,151
Atun Enlatado Natural 296,1000000000296,Bebidas,2029-10-18,FreshCo,43.33,158
Aceite Vegetal Extra 297,1000000000297,Granos,2027-05-20,Bimbo,87.63,103
Atun Enlatado Clasico 298,1000000000298,Bebidas,2026-07-18,LaVaquita,11.25,115
Queso Crema Clasico 299,1000000000299,Bebidas,2029-06-16,FreshCo,32.19,3
Manzana Roja Clasico 300,1000000000300,Bebidas,2028-05-19,Sabroso,48.81,24
Galletas Chocolate Premium 301,1000000000301,Granos,2028-03-11,NutriPlus,35.26,57
Cereal Avena Premium 302,1000000000302,Bebidas,2029-12-29,FreshCo,92.77,123
Arroz Blanco Natural 303,1000000000303,Despensa,2027-05-27,NutriPlus,34.49,113
Cafe Molido Natural 304,1000000000304,Panaderia,2028-02-20,CampoReal,12.69,189
Arroz Blanco Premium 305,1000000000305,Lacteos,2028-09-25,DelCampo,10.51,138
Azucar Morena Light 306,1000000000306,Granos,2026-08-21,Bimbo,86.48,123
Harina Trigo Light 307,1000000000307,Lacteos,2026-09-16,Bimbo,67.5,187
Leche Entera Light 308,1000000000308,Bebidas,2026-04-26,CampoReal,51.09,156
Cereal Avena Natural 309,1000000000309,Lacteos,2029-09-30,LaMilpa,21.35,105
Azucar Morena Clasico 310,1000000000310,Despensa,2029-04-18,NutriPlus,92.52,111
Sal Marina Clasico 311,1000000000311,Bebidas,2029-03-28,FreshCo,81.86,168
Atun Enlatado Clasico 312,1000000000312,Granos,2029-01-30,NutriPlus,90.74,52
Jugo Natural Premium 313,1000000000313,Panaderia,2029-09-26,NutriPlus,1.49,40
Azucar Morena Extra 314,1000000000314,Lacteos,2027-11-29,Sabroso,25.9,172
